id,variety
57176,Sauvignon Blanc
57177,Merlot
57178,Rosé
57179,Chardonnay
57180,Red Blend
57181,Pinot Noir
57182,Merlot
57183,Bordeaux-style Red Blend
57184,Cabernet Sauvignon
57185,Pinot Noir
57186,Merlot
57187,Bordeaux-style Red Blend
57188,Sauvignon Blanc
57189,Riesling
57190,Cabernet Sauvignon
57191,Rosé
57192,Riesling
57193,Rosé
57194,Riesling
57195,Red Blend
57196,Bordeaux-style Red Blend
57197,Sauvignon Blanc
57198,Bordeaux-style Red Blend
57199,Red Blend
57200,Rosé
57201,Cabernet Sauvignon
57202,Chardonnay
57203,Bordeaux-style Red Blend
57204,Cabernet Sauvignon
57205,Rosé
57206,Chardonnay
57207,Pinot Noir
57208,Sauvignon Blanc
57209,Riesling
57210,Pinot Noir
57211,Pinot Noir
57212,Chardonnay
57213,Red Blend
57214,Syrah
57215,Syrah
57216,Red Blend
57217,Chardonnay
57218,Bordeaux-style Red Blend
57219,Red Blend
57220,Cabernet Sauvignon
57221,Syrah
57222,Pinot Noir
57223,Pinot Noir
57224,Pinot Noir
57225,Red Blend
57226,Bordeaux-style Red Blend
57227,Sauvignon Blanc
57228,Rosé
57229,Rosé
57230,Chardonnay
57231,Sauvignon Blanc
57232,Rosé
57233,Bordeaux-style Red Blend
57234,Merlot
57235,Syrah
57236,Pinot Noir
57237,Sauvignon Blanc
57238,Sauvignon Blanc
57239,Syrah
57240,Red Blend
57241,Riesling
57242,Bordeaux-style Red Blend
57243,Merlot
57244,Rosé
57245,Syrah
57246,Bordeaux-style Red Blend
57247,Chardonnay
57248,Chardonnay
57249,Riesling
57250,Syrah
57251,Merlot
57252,Pinot Noir
57253,Syrah
57254,Syrah
57255,Chardonnay
57256,Pinot Noir
57257,Rosé
57258,Riesling
57259,Riesling
57260,Cabernet Sauvignon
57261,Pinot Noir
57262,Pinot Noir
57263,Merlot
57264,Bordeaux-style Red Blend
57265,Syrah
57266,Cabernet Sauvignon
57267,Chardonnay
57268,Cabernet Sauvignon
57269,Pinot Noir
57270,Syrah
57271,Riesling
57272,Merlot
57273,Red Blend
57274,Bordeaux-style Red Blend
57275,Pinot Noir
57276,Sauvignon Blanc
57277,Bordeaux-style Red Blend
57278,Sauvignon Blanc
57279,Merlot
57280,Chardonnay
57281,Riesling
57282,Merlot
57283,Rosé
57284,Bordeaux-style Red Blend
57285,Syrah
57286,Riesling
57287,Merlot
57288,Cabernet Sauvignon
57289,Red Blend
57290,Pinot Noir
57291,Chardonnay
57292,Syrah
57293,Merlot
57294,Bordeaux-style Red Blend
57295,Rosé
57296,Syrah
57297,Syrah
57298,Pinot Noir
57299,Cabernet Sauvignon
57300,Rosé
57301,Pinot Noir
57302,Pinot Noir
57303,Rosé
57304,Cabernet Sauvignon
57305,Chardonnay
57306,Merlot
57307,Pinot Noir
57308,Red Blend
57309,Merlot
57310,Bordeaux-style Red Blend
57311,Cabernet Sauvignon
57312,Sauvignon Blanc
57313,Pinot Noir
57314,Rosé
57315,Sauvignon Blanc
57316,Sauvignon Blanc
57317,Cabernet Sauvignon
57318,Red Blend
57319,Merlot
57320,Sauvignon Blanc
57321,Chardonnay
57322,Merlot
57323,Riesling
57324,Red Blend
57325,Merlot
57326,Pinot Noir
57327,Riesling
57328,Sauvignon Blanc
57329,Syrah
57330,Merlot
57331,Riesling
57332,Red Blend
57333,Sauvignon Blanc
57334,Pinot Noir
57335,Chardonnay
57336,Riesling
57337,Rosé
57338,Pinot Noir
57339,Cabernet Sauvignon
57340,Chardonnay
57341,Merlot
57342,Syrah
57343,Bordeaux-style Red Blend
57344,Bordeaux-style Red Blend
57345,Pinot Noir
57346,Pinot Noir
57347,Riesling
57348,Sauvignon Blanc
57349,Merlot
57350,Red Blend
57351,Syrah
57352,Pinot Noir
57353,Cabernet Sauvignon
57354,Merlot
57355,Merlot
57356,Cabernet Sauvignon
57357,Merlot
57358,Merlot
57359,Merlot
57360,Chardonnay
57361,Cabernet Sauvignon
57362,Riesling
57363,Syrah
57364,Rosé
57365,Riesling
57366,Sauvignon Blanc
57367,Syrah
57368,Red Blend
57369,Syrah
57370,Rosé
57371,Bordeaux-style Red Blend
57372,Merlot
57373,Syrah
57374,Chardonnay
57375,Syrah
57376,Cabernet Sauvignon
57377,Chardonnay
57378,Chardonnay
57379,Rosé
57380,Red Blend
57381,Pinot Noir
57382,Bordeaux-style Red Blend
57383,Red Blend
57384,Merlot
57385,Sauvignon Blanc
57386,Sauvignon Blanc
57387,Rosé
57388,Rosé
57389,Pinot Noir
57390,Cabernet Sauvignon
57391,Pinot Noir
57392,Red Blend
57393,Sauvignon Blanc
57394,Cabernet Sauvignon
57395,Merlot
57396,Riesling
57397,Rosé
57398,Cabernet Sauvignon
57399,Merlot
57400,Merlot
57401,Sauvignon Blanc
57402,Red Blend
57403,Syrah
57404,Cabernet Sauvignon
57405,Merlot
57406,Riesling
57407,Rosé
57408,Rosé
57409,Sauvignon Blanc
57410,Cabernet Sauvignon
57411,Rosé
57412,Merlot
57413,Syrah
57414,Riesling
57415,Chardonnay
57416,Pinot Noir
57417,Bordeaux-style Red Blend
57418,Riesling
57419,Chardonnay
57420,Pinot Noir
57421,Merlot
57422,Pinot Noir
57423,Sauvignon Blanc
57424,Rosé
57425,Syrah
57426,Sauvignon Blanc
57427,Red Blend
57428,Bordeaux-style Red Blend
57429,Syrah
57430,Rosé
57431,Bordeaux-style Red Blend
57432,Bordeaux-style Red Blend
57433,Pinot Noir
57434,Rosé
57435,Sauvignon Blanc
57436,Merlot
57437,Chardonnay
57438,Chardonnay
57439,Syrah
57440,Merlot
57441,Red Blend
57442,Merlot
57443,Riesling
57444,Bordeaux-style Red Blend
57445,Syrah
57446,Merlot
57447,Red Blend
57448,Chardonnay
57449,Chardonnay
57450,Chardonnay
57451,Pinot Noir
57452,Syrah
57453,Pinot Noir
57454,Riesling
57455,Pinot Noir
57456,Chardonnay
57457,Rosé
57458,Cabernet Sauvignon
57459,Merlot
57460,Cabernet Sauvignon
57461,Syrah
57462,Chardonnay
57463,Rosé
57464,Cabernet Sauvignon
57465,Cabernet Sauvignon
57466,Rosé
57467,Riesling
57468,Chardonnay
57469,Riesling
57470,Pinot Noir
57471,Pinot Noir
57472,Bordeaux-style Red Blend
57473,Chardonnay
57474,Chardonnay
57475,Syrah
57476,Sauvignon Blanc
57477,Cabernet Sauvignon
57478,Bordeaux-style Red Blend
57479,Pinot Noir
57480,Bordeaux-style Red Blend
57481,Bordeaux-style Red Blend
57482,Sauvignon Blanc
57483,Cabernet Sauvignon
57484,Pinot Noir
57485,Syrah
57486,Cabernet Sauvignon
57487,Sauvignon Blanc
57488,Bordeaux-style Red Blend
57489,Riesling
57490,Pinot Noir
57491,Chardonnay
57492,Rosé
57493,Cabernet Sauvignon
57494,Cabernet Sauvignon
57495,Sauvignon Blanc
57496,Chardonnay
57497,Rosé
57498,Syrah
57499,Riesling
57500,Sauvignon Blanc
57501,Pinot Noir
57502,Merlot
57503,Cabernet Sauvignon
57504,Chardonnay
57505,Riesling
57506,Bordeaux-style Red Blend
57507,Merlot
57508,Riesling
57509,Syrah
57510,Rosé
57511,Chardonnay
57512,Red Blend
57513,Riesling
57514,Red Blend
57515,Bordeaux-style Red Blend
57516,Cabernet Sauvignon
57517,Riesling
57518,Bordeaux-style Red Blend
57519,Pinot Noir
57520,Riesling
57521,Sauvignon Blanc
57522,Sauvignon Blanc
57523,Bordeaux-style Red Blend
57524,Syrah
57525,Pinot Noir
57526,Chardonnay
57527,Bordeaux-style Red Blend
57528,Sauvignon Blanc
57529,Pinot Noir
57530,Pinot Noir
57531,Merlot
57532,Pinot Noir
57533,Merlot
57534,Cabernet Sauvignon
57535,Bordeaux-style Red Blend
57536,Chardonnay
57537,Chardonnay
57538,Red Blend
57539,Riesling
57540,Pinot Noir
57541,Pinot Noir
57542,Chardonnay
57543,Red Blend
57544,Red Blend
57545,Cabernet Sauvignon
57546,Red Blend
57547,Chardonnay
57548,Cabernet Sauvignon
57549,Rosé
57550,Pinot Noir
57551,Syrah
57552,Red Blend
57553,Bordeaux-style Red Blend
57554,Pinot Noir
57555,Pinot Noir
57556,Pinot Noir
57557,Chardonnay
57558,Merlot
57559,Sauvignon Blanc
57560,Chardonnay
57561,Bordeaux-style Red Blend
57562,Merlot
57563,Rosé
57564,Bordeaux-style Red Blend
57565,Sauvignon Blanc
57566,Rosé
57567,Red Blend
57568,Merlot
57569,Rosé
57570,Rosé
57571,Red Blend
57572,Sauvignon Blanc
57573,Cabernet Sauvignon
57574,Riesling
57575,Red Blend
57576,Syrah
57577,Sauvignon Blanc
57578,Rosé
57579,Pinot Noir
57580,Pinot Noir
57581,Red Blend
57582,Bordeaux-style Red Blend
57583,Rosé
57584,Cabernet Sauvignon
57585,Red Blend
57586,Sauvignon Blanc
57587,Bordeaux-style Red Blend
57588,Sauvignon Blanc
57589,Rosé
57590,Pinot Noir
57591,Syrah
57592,Rosé
57593,Riesling
57594,Pinot Noir
57595,Red Blend
57596,Sauvignon Blanc
57597,Cabernet Sauvignon
57598,Riesling
57599,Sauvignon Blanc
57600,Sauvignon Blanc
57601,Bordeaux-style Red Blend
57602,Red Blend
57603,Sauvignon Blanc
57604,Chardonnay
57605,Pinot Noir
57606,Bordeaux-style Red Blend
57607,Rosé
57608,Merlot
57609,Sauvignon Blanc
57610,Sauvignon Blanc
57611,Chardonnay
57612,Pinot Noir
57613,Chardonnay
57614,Bordeaux-style Red Blend
57615,Merlot
57616,Riesling
57617,Cabernet Sauvignon
57618,Syrah
57619,Merlot
57620,Merlot
57621,Syrah
57622,Pinot Noir
57623,Red Blend
57624,Bordeaux-style Red Blend
57625,Sauvignon Blanc
57626,Rosé
57627,Cabernet Sauvignon
57628,Bordeaux-style Red Blend
57629,Merlot
57630,Merlot
57631,Sauvignon Blanc
57632,Red Blend
57633,Rosé
57634,Chardonnay
57635,Bordeaux-style Red Blend
57636,Sauvignon Blanc
57637,Chardonnay
57638,Riesling
57639,Red Blend
57640,Syrah
57641,Pinot Noir
57642,Rosé
57643,Cabernet Sauvignon
57644,Red Blend
57645,Sauvignon Blanc
57646,Riesling
57647,Cabernet Sauvignon
57648,Riesling
57649,Pinot Noir
57650,Rosé
57651,Red Blend
57652,Riesling
57653,Merlot
57654,Riesling
57655,Sauvignon Blanc
57656,Pinot Noir
57657,Merlot
57658,Rosé
57659,Riesling
57660,Rosé
57661,Pinot Noir
57662,Riesling
57663,Rosé
57664,Sauvignon Blanc
57665,Bordeaux-style Red Blend
57666,Pinot Noir
57667,Bordeaux-style Red Blend
57668,Bordeaux-style Red Blend
57669,Merlot
57670,Cabernet Sauvignon
57671,Sauvignon Blanc
57672,Sauvignon Blanc
57673,Sauvignon Blanc
57674,Pinot Noir
57675,Syrah
57676,Red Blend
57677,Chardonnay
57678,Chardonnay
57679,Cabernet Sauvignon
57680,Syrah
57681,Cabernet Sauvignon
57682,Syrah
57683,Syrah
57684,Merlot
57685,Sauvignon Blanc
57686,Syrah
57687,Rosé
57688,Syrah
57689,Bordeaux-style Red Blend
57690,Merlot
57691,Bordeaux-style Red Blend
57692,Pinot Noir
57693,Chardonnay
57694,Pinot Noir
57695,Cabernet Sauvignon
57696,Cabernet Sauvignon
57697,Riesling
57698,Merlot
57699,Riesling
57700,Pinot Noir
57701,Merlot
57702,Cabernet Sauvignon
57703,Red Blend
57704,Red Blend
57705,Syrah
57706,Cabernet Sauvignon
57707,Cabernet Sauvignon
57708,Rosé
57709,Pinot Noir
57710,Cabernet Sauvignon
57711,Chardonnay
57712,Sauvignon Blanc
57713,Sauvignon Blanc
57714,Riesling
57715,Riesling
57716,Rosé
57717,Merlot
57718,Rosé
57719,Rosé
57720,Pinot Noir
57721,Sauvignon Blanc
57722,Merlot
57723,Bordeaux-style Red Blend
57724,Rosé
57725,Rosé
57726,Pinot Noir
57727,Bordeaux-style Red Blend
57728,Sauvignon Blanc
57729,Pinot Noir
57730,Merlot
57731,Red Blend
57732,Bordeaux-style Red Blend
57733,Sauvignon Blanc
57734,Riesling
57735,Pinot Noir
57736,Rosé
57737,Rosé
57738,Cabernet Sauvignon
57739,Syrah
57740,Syrah
57741,Cabernet Sauvignon
57742,Sauvignon Blanc
57743,Sauvignon Blanc
57744,Rosé
57745,Chardonnay
57746,Chardonnay
57747,Bordeaux-style Red Blend
57748,Rosé
57749,Rosé
57750,Rosé
57751,Red Blend
57752,Merlot
57753,Syrah
57754,Chardonnay
57755,Rosé
57756,Pinot Noir
57757,Riesling
57758,Chardonnay
57759,Sauvignon Blanc
57760,Sauvignon Blanc
57761,Riesling
57762,Syrah
57763,Red Blend
57764,Rosé
57765,Chardonnay
57766,Merlot
57767,Bordeaux-style Red Blend
57768,Red Blend
57769,Merlot
57770,Sauvignon Blanc
57771,Sauvignon Blanc
57772,Pinot Noir
57773,Pinot Noir
57774,Riesling
57775,Riesling
57776,Syrah
57777,Rosé
57778,Pinot Noir
57779,Merlot
57780,Rosé
57781,Bordeaux-style Red Blend
57782,Chardonnay
57783,Chardonnay
57784,Chardonnay
57785,Bordeaux-style Red Blend
57786,Cabernet Sauvignon
57787,Rosé
57788,Red Blend
57789,Sauvignon Blanc
57790,Cabernet Sauvignon
57791,Red Blend
57792,Riesling
57793,Merlot
57794,Sauvignon Blanc
57795,Merlot
57796,Sauvignon Blanc
57797,Pinot Noir
57798,Sauvignon Blanc
57799,Cabernet Sauvignon
57800,Syrah
57801,Riesling
57802,Syrah
57803,Sauvignon Blanc
57804,Cabernet Sauvignon
57805,Rosé
57806,Syrah
57807,Merlot
57808,Bordeaux-style Red Blend
57809,Syrah
57810,Syrah
57811,Syrah
57812,Red Blend
57813,Bordeaux-style Red Blend
57814,Chardonnay
57815,Red Blend
57816,Pinot Noir
57817,Chardonnay
57818,Bordeaux-style Red Blend
57819,Merlot
57820,Pinot Noir
57821,Merlot
57822,Cabernet Sauvignon
57823,Sauvignon Blanc
57824,Bordeaux-style Red Blend
57825,Red Blend
57826,Pinot Noir
57827,Cabernet Sauvignon
57828,Rosé
57829,Bordeaux-style Red Blend
57830,Pinot Noir
57831,Syrah
57832,Cabernet Sauvignon
57833,Syrah
57834,Pinot Noir
57835,Bordeaux-style Red Blend
57836,Syrah
57837,Cabernet Sauvignon
57838,Pinot Noir
57839,Merlot
57840,Chardonnay
57841,Riesling
57842,Merlot
57843,Syrah
57844,Cabernet Sauvignon
57845,Sauvignon Blanc
57846,Riesling
57847,Sauvignon Blanc
57848,Rosé
57849,Red Blend
57850,Pinot Noir
57851,Red Blend
57852,Red Blend
57853,Syrah
57854,Red Blend
57855,Merlot
57856,Pinot Noir
57857,Riesling
57858,Cabernet Sauvignon
57859,Syrah
57860,Cabernet Sauvignon
57861,Riesling
57862,Rosé
57863,Chardonnay
57864,Cabernet Sauvignon
57865,Sauvignon Blanc
57866,Chardonnay
57867,Bordeaux-style Red Blend
57868,Riesling
57869,Rosé
57870,Cabernet Sauvignon
57871,Sauvignon Blanc
57872,Syrah
57873,Pinot Noir
57874,Red Blend
57875,Syrah
57876,Pinot Noir
57877,Cabernet Sauvignon
57878,Merlot
57879,Syrah
57880,Sauvignon Blanc
57881,Syrah
57882,Cabernet Sauvignon
57883,Syrah
57884,Merlot
57885,Pinot Noir
57886,Chardonnay
57887,Chardonnay
57888,Bordeaux-style Red Blend
57889,Merlot
57890,Syrah
57891,Rosé
57892,Syrah
57893,Merlot
57894,Red Blend
57895,Rosé
57896,Pinot Noir
57897,Merlot
57898,Cabernet Sauvignon
57899,Chardonnay
57900,Merlot
57901,Sauvignon Blanc
57902,Pinot Noir
57903,Pinot Noir
57904,Merlot
57905,Red Blend
57906,Cabernet Sauvignon
57907,Chardonnay
57908,Rosé
57909,Merlot
57910,Red Blend
57911,Chardonnay
57912,Sauvignon Blanc
57913,Rosé
57914,Rosé
57915,Bordeaux-style Red Blend
57916,Rosé
57917,Sauvignon Blanc
57918,Pinot Noir
57919,Merlot
57920,Rosé
57921,Syrah
57922,Bordeaux-style Red Blend
57923,Chardonnay
57924,Rosé
57925,Red Blend
57926,Merlot
57927,Merlot
57928,Bordeaux-style Red Blend
57929,Sauvignon Blanc
57930,Rosé
57931,Red Blend
57932,Syrah
57933,Merlot
57934,Cabernet Sauvignon
57935,Sauvignon Blanc
57936,Rosé
57937,Red Blend
57938,Syrah
57939,Syrah
57940,Sauvignon Blanc
57941,Bordeaux-style Red Blend
57942,Bordeaux-style Red Blend
57943,Merlot
57944,Bordeaux-style Red Blend
57945,Sauvignon Blanc
57946,Pinot Noir
57947,Red Blend
57948,Merlot
57949,Riesling
57950,Syrah
57951,Riesling
57952,Sauvignon Blanc
57953,Cabernet Sauvignon
57954,Cabernet Sauvignon
57955,Pinot Noir
57956,Merlot
57957,Pinot Noir
57958,Syrah
57959,Riesling
57960,Bordeaux-style Red Blend
57961,Cabernet Sauvignon
57962,Red Blend
57963,Chardonnay
57964,Merlot
57965,Syrah
57966,Merlot
57967,Red Blend
57968,Syrah
57969,Riesling
57970,Riesling
57971,Syrah
57972,Pinot Noir
57973,Merlot
57974,Pinot Noir
57975,Syrah
57976,Cabernet Sauvignon
57977,Sauvignon Blanc
57978,Rosé
57979,Chardonnay
57980,Red Blend
57981,Syrah
57982,Cabernet Sauvignon
57983,Red Blend
57984,Rosé
57985,Pinot Noir
57986,Riesling
57987,Red Blend
57988,Sauvignon Blanc
57989,Red Blend
57990,Syrah
57991,Cabernet Sauvignon
57992,Bordeaux-style Red Blend
57993,Cabernet Sauvignon
57994,Cabernet Sauvignon
57995,Merlot
57996,Riesling
57997,Sauvignon Blanc
57998,Merlot
57999,Sauvignon Blanc
58000,Riesling
58001,Chardonnay
58002,Chardonnay
58003,Riesling
58004,Sauvignon Blanc
58005,Merlot
58006,Syrah
58007,Cabernet Sauvignon
58008,Pinot Noir
58009,Syrah
58010,Bordeaux-style Red Blend
58011,Chardonnay
58012,Riesling
58013,Rosé
58014,Merlot
58015,Pinot Noir
58016,Rosé
58017,Syrah
58018,Riesling
58019,Merlot
58020,Cabernet Sauvignon
58021,Bordeaux-style Red Blend
58022,Red Blend
58023,Syrah
58024,Bordeaux-style Red Blend
58025,Merlot
58026,Bordeaux-style Red Blend
58027,Pinot Noir
58028,Merlot
58029,Syrah
58030,Rosé
58031,Cabernet Sauvignon
58032,Syrah
58033,Riesling
58034,Cabernet Sauvignon
58035,Cabernet Sauvignon
58036,Merlot
58037,Chardonnay
58038,Pinot Noir
58039,Riesling
58040,Bordeaux-style Red Blend
58041,Syrah
58042,Sauvignon Blanc
58043,Red Blend
58044,Rosé
58045,Bordeaux-style Red Blend
58046,Cabernet Sauvignon
58047,Syrah
58048,Sauvignon Blanc
58049,Chardonnay
58050,Bordeaux-style Red Blend
58051,Riesling
58052,Red Blend
58053,Riesling
58054,Pinot Noir
58055,Cabernet Sauvignon
58056,Riesling
58057,Rosé
58058,Red Blend
58059,Cabernet Sauvignon
58060,Bordeaux-style Red Blend
58061,Sauvignon Blanc
58062,Pinot Noir
58063,Cabernet Sauvignon
58064,Riesling
58065,Rosé
58066,Red Blend
58067,Merlot
58068,Red Blend
58069,Red Blend
58070,Pinot Noir
58071,Riesling
58072,Riesling
58073,Cabernet Sauvignon
58074,Sauvignon Blanc
58075,Cabernet Sauvignon
58076,Cabernet Sauvignon
58077,Syrah
58078,Chardonnay
58079,Syrah
58080,Riesling
58081,Red Blend
58082,Chardonnay
58083,Rosé
58084,Chardonnay
58085,Riesling
58086,Pinot Noir
58087,Riesling
58088,Red Blend
58089,Sauvignon Blanc
58090,Chardonnay
58091,Cabernet Sauvignon
58092,Cabernet Sauvignon
58093,Sauvignon Blanc
58094,Bordeaux-style Red Blend
58095,Syrah
58096,Riesling
58097,Syrah
58098,Cabernet Sauvignon
58099,Cabernet Sauvignon
58100,Pinot Noir
58101,Sauvignon Blanc
58102,Red Blend
58103,Pinot Noir
58104,Bordeaux-style Red Blend
58105,Syrah
58106,Chardonnay
58107,Riesling
58108,Rosé
58109,Riesling
58110,Bordeaux-style Red Blend
58111,Red Blend
58112,Merlot
58113,Rosé
58114,Rosé
58115,Syrah
58116,Rosé
58117,Merlot
58118,Cabernet Sauvignon
58119,Riesling
58120,Bordeaux-style Red Blend
58121,Cabernet Sauvignon
58122,Chardonnay
58123,Bordeaux-style Red Blend
58124,Red Blend
58125,Bordeaux-style Red Blend
58126,Merlot
58127,Red Blend
58128,Syrah
58129,Red Blend
58130,Chardonnay
58131,Syrah
58132,Chardonnay
58133,Syrah
58134,Syrah
58135,Sauvignon Blanc
58136,Chardonnay
58137,Pinot Noir
58138,Riesling
58139,Pinot Noir
58140,Merlot
58141,Merlot
58142,Bordeaux-style Red Blend
58143,Syrah
58144,Sauvignon Blanc
58145,Chardonnay
58146,Riesling
58147,Merlot
58148,Pinot Noir
58149,Chardonnay
58150,Cabernet Sauvignon
58151,Merlot
58152,Pinot Noir
58153,Cabernet Sauvignon
58154,Sauvignon Blanc
58155,Syrah
58156,Merlot
58157,Pinot Noir
58158,Rosé
58159,Syrah
58160,Syrah
58161,Sauvignon Blanc
58162,Bordeaux-style Red Blend
58163,Cabernet Sauvignon
58164,Red Blend
58165,Chardonnay
58166,Syrah
58167,Chardonnay
58168,Chardonnay
58169,Red Blend
58170,Pinot Noir
58171,Bordeaux-style Red Blend
58172,Pinot Noir
58173,Cabernet Sauvignon
58174,Merlot
58175,Bordeaux-style Red Blend
58176,Merlot
58177,Chardonnay
58178,Cabernet Sauvignon
58179,Merlot
58180,Cabernet Sauvignon
58181,Sauvignon Blanc
58182,Rosé
58183,Syrah
58184,Rosé
58185,Chardonnay
58186,Bordeaux-style Red Blend
58187,Rosé
58188,Cabernet Sauvignon
58189,Bordeaux-style Red Blend
58190,Red Blend
58191,Riesling
58192,Syrah
58193,Riesling
58194,Bordeaux-style Red Blend
58195,Syrah
58196,Bordeaux-style Red Blend
58197,Red Blend
58198,Syrah
58199,Pinot Noir
58200,Bordeaux-style Red Blend
58201,Red Blend
58202,Riesling
58203,Sauvignon Blanc
58204,Rosé
58205,Chardonnay
58206,Pinot Noir
58207,Bordeaux-style Red Blend
58208,Sauvignon Blanc
58209,Syrah
58210,Bordeaux-style Red Blend
58211,Sauvignon Blanc
58212,Red Blend
58213,Syrah
58214,Chardonnay
58215,Sauvignon Blanc
58216,Pinot Noir
58217,Chardonnay
58218,Syrah
58219,Rosé
58220,Pinot Noir
58221,Sauvignon Blanc
58222,Chardonnay
58223,Pinot Noir
58224,Bordeaux-style Red Blend
58225,Cabernet Sauvignon
58226,Sauvignon Blanc
58227,Bordeaux-style Red Blend
58228,Merlot
58229,Chardonnay
58230,Sauvignon Blanc
58231,Pinot Noir
58232,Rosé
58233,Rosé
58234,Riesling
58235,Chardonnay
58236,Sauvignon Blanc
58237,Bordeaux-style Red Blend
58238,Riesling
58239,Sauvignon Blanc
58240,Bordeaux-style Red Blend
58241,Syrah
58242,Red Blend
58243,Merlot
58244,Merlot
58245,Bordeaux-style Red Blend
58246,Pinot Noir
58247,Chardonnay
58248,Chardonnay
58249,Syrah
58250,Cabernet Sauvignon
58251,Red Blend
58252,Bordeaux-style Red Blend
58253,Cabernet Sauvignon
58254,Merlot
58255,Pinot Noir
58256,Sauvignon Blanc
58257,Sauvignon Blanc
58258,Sauvignon Blanc
58259,Cabernet Sauvignon
58260,Chardonnay
58261,Chardonnay
58262,Chardonnay
58263,Sauvignon Blanc
58264,Syrah
58265,Red Blend
58266,Rosé
58267,Syrah
58268,Bordeaux-style Red Blend
58269,Red Blend
58270,Bordeaux-style Red Blend
58271,Chardonnay
58272,Riesling
58273,Pinot Noir
58274,Pinot Noir
58275,Rosé
58276,Syrah
58277,Sauvignon Blanc
58278,Sauvignon Blanc
58279,Rosé
58280,Merlot
58281,Cabernet Sauvignon
58282,Bordeaux-style Red Blend
58283,Syrah
58284,Red Blend
58285,Riesling
58286,Chardonnay
58287,Rosé
58288,Merlot
58289,Rosé
58290,Chardonnay
58291,Sauvignon Blanc
58292,Cabernet Sauvignon
58293,Pinot Noir
58294,Rosé
58295,Cabernet Sauvignon
58296,Chardonnay
58297,Red Blend
58298,Cabernet Sauvignon
58299,Chardonnay
58300,Pinot Noir
58301,Syrah
58302,Bordeaux-style Red Blend
58303,Merlot
58304,Red Blend
58305,Cabernet Sauvignon
58306,Sauvignon Blanc
58307,Red Blend
58308,Bordeaux-style Red Blend
58309,Sauvignon Blanc
58310,Sauvignon Blanc
58311,Rosé
58312,Bordeaux-style Red Blend
58313,Syrah
58314,Rosé
58315,Pinot Noir
58316,Bordeaux-style Red Blend
58317,Red Blend
58318,Rosé
58319,Sauvignon Blanc
58320,Sauvignon Blanc
58321,Chardonnay
58322,Sauvignon Blanc
58323,Merlot
58324,Sauvignon Blanc
58325,Cabernet Sauvignon
58326,Bordeaux-style Red Blend
58327,Chardonnay
58328,Bordeaux-style Red Blend
58329,Cabernet Sauvignon
58330,Rosé
58331,Rosé
58332,Bordeaux-style Red Blend
58333,Red Blend
58334,Sauvignon Blanc
58335,Rosé
58336,Syrah
58337,Riesling
58338,Rosé
58339,Red Blend
58340,Pinot Noir
58341,Chardonnay
58342,Bordeaux-style Red Blend
58343,Pinot Noir
